Group by year	RD Group	Gene ID	Accession No	New locus tag	Publication date	Reference	Earliest Date	Name on tree Perez de Mora et al.	Note1	Note2	Spcies 	Organism/strain	Protein Name	Characteristics
2016	74	IBK_1420	PKH45602	IBK_RS07025	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	75	IBK_1423	WP_059279986	IBK_RS07040	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	38	IBK_1427	WP_011309917	IBK_RS07060	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	32	IBK_1434	WP_059279981	IBK_RS07095	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	30	IBK_1439	WP_011309950	IBK_RS07120	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	34	IBK_1445	WP_061977549.1	IBK_RS07150	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	11	IBK_1448	WP_011309959	IBK_RS07165	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	13	IBK_1477	WP_011309985	IBK_RS07310	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2016	15	IBK_1483	WP_011309991	IBK_RS07340	20-Oct-16	Yohda et al. J Biosci Bioeng. 2015 Jul;120(1):69-77. 					Dehalococcoides mccartyi	Dehalococcoides mccartyi IBARAKI		
2004_5	12	JNA_RD1	AHZ58510		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2005_6	34	JNA_RD10	WP_059279975		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2005_7	35	JNA_RD11	WP_059280018		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2005_10	38	JNA_RD12	AHZ58531		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2005_11	39	JNA_RD13	AHZ58533		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2014_5	47	JNA_RD14	WP_011308837		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2014_5	48	JNA_RD15	AHZ58536		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2014-5	49	JNA_RD16	AHZ58538		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2014-5	50	JNA_RD17	AHZ58540		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2014-5	51	JNA_RD18	WP_015407325		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
	74	JNA_RD19	PKH45602								Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_6	13	JNA_RD2	BAS32509		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_7	14	JNA_RD3	WP_011309926		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_9	15	JNA_RD4	AHZ58516		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_10	17	JNA_RD5	WP_011309982		Mar-14	NCBI direct submission			17_II subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_10	17	JNA_RD6	WP_015407262		Mar-14	NCBI direct submission			17_I subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_16	23	JNA_RD7	WP_011928681		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2005_2	30	JNA_RD8	WP_059279979		14-Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2005_4	32	JNA_RD9	AHZ58525.1		Mar-14	NCBI direct submission					Dehalococcoides mccartyi	Dehalococcoides mccartyi JNA		
2004_3	10	KB1_1	WP_078987031		1-Dec-05	ASW, AEM	1-Sep-04				KB-1 consortium	KB-1 consortium		
2005_6	34	KB1_10	WP_078987022		1-Dec-05	ASW, AEM					KB-1 consortium	KB-1 consortium		
2005_9	37	KB1_11	WP_011309901		1-Dec-05	ASW, AEM	1-Oct-05				KB-1 consortium	KB-1 consortium		
2004_11	18	KB1_12	WP_034376170		1-Dec-05	ASW, AEM	1-Sep-04				KB-1 consortium	KB-1 consortium		
2005_2	30	KB1_13	WP_078987019		1-Dec-05	ASW, AEM	1-Jan-05				KB-1 consortium	KB-1 consortium		
2004_1	8	KB1_14	WP_079398699.1		1-Dec-05	ASW, AEM	1-Aug-04				KB-1 consortium	KB-1 consortium		the orgainsm is Dehalococcoides mccartyi; KB-1 is not organism name
2004_4	11	KB1_2	WP_011309959		1-Dec-05	ASW, AEM	1-Sep-04				KB-1 consortium	KB-1 consortium		
2005_12	40	KB1_22	WP_079398701		4-Jul-05	LAH					KB-1 consortium	KB-1 consortium		
2004_5	12	KB1_3	WP_015407263		1-Dec-05	LAH	1-Sep-04				KB-1 consortium	KB-1 consortium		
2004_6	13	KB1_4	WP_011309985		1-Dec-05	ASW, AEM	1-Sep-04				KB-1 consortium	KB-1 consortium		
2004_8	15	KB1_5	WP_078987038		1-Dec-05	ASW, AEM	1-Sep-04				KB-1 consortium	KB-1 consortium		
2004_21	28	KB1_6	ABA64533		1-Dec-05	ASW, AEM	1-Oct-04	bvcA	vinyl chloride reductase BvcA		KB-1 consortium	KB-1 consortium		
2004_12	19	KB1_7	ABA64535		1-Dec-05	ASW, AEM					KB-1 consortium	KB-1 consortium		
2004_10	17	KB1_8 	WP_079398697		1-Dec-05	ASW, AEM	1-Sep-04		17_I subgroup		KB-1 consortium	KB-1 consortium		
2004_10	17	KB1_9 	WP_078987034		1-Dec-05	ASW, AEM			17_II subgroup		KB-1 consortium	KB-1 consortium		
2014_11	56	KB11024_1	No seq in fasta file		4-Jul-05	LAH	4-Jul-05	KB1_25			KB-1 consortium	KB-1 consortium		
2005_1	29	KB13107_1	WP_078986767		4-Jul-05	LAH	1-Jan-05	KB1_23			KB-1 consortium	KB-1 consortium		
2004_15	22	KB13107_2	WP_078986765		4-Jul-05	LAH	1-Oct-04				KB-1 consortium	KB-1 consortium		
2004_16	23	KB13108_1	WP_011928681		4-Jul-05	LAH	1-Oct-04	KB1_26			KB-1 consortium	KB-1 consortium		
2004_3	10	KB13109_4 	WP_078987031		4-Jul-05	LAH		identical to KB1_1			KB-1 consortium	KB-1 consortium		
2005_12	40	KB13109_7	WP_079398701		4-Jul-05	LAH	1-Oct-05	identical to KB1_22			KB-1 consortium	KB-1 consortium		
2005_6	34	KB13109_9 	WP_078987022		4-Jul-05	LAH	1-Jan-05	identical to KB1_10			KB-1 consortium	KB-1 consortium		
2005_9	37	KB13240_1 	WP_011309901		4-Jul-05	LAH		identical sequence to KB1_11			KB-1 consortium	KB-1 consortium		
2005_11	39	KB13241_1	WP_011309929		4-Jul-05	LAH	1-Oct-05	KB1_15			KB-1 consortium	KB-1 consortium		
	50	KB13241_2(KB1_16)	WP_059279995								KB-1 consortium	KB-1 consortium		
2014_5	49	KB13241_3	AIZ97091		4-Jul-05	LAH	4-Jul-05	KB1_17			KB-1 consortium	KB-1 consortium		
2004_7	14	KB13241_4	WP_011309926		4-Jul-05	LAH	1-Sep-04	KB1_18			KB-1 consortium	KB-1 consortium		
2005_8	36	KB13241_5			4-Jul-05	LAH	1-Oct-05	KB1_19			KB-1 consortium	KB-1 consortium		
2005_10	38	KB13241_6	AIZ97097		4-Jul-05	LAH	1-Oct-05	KB1_20			KB-1 consortium	KB-1 consortium		
2004_12	19	KB13241_7 	WP_034376039		4-Jul-05	LAH		identical to KB1_7			KB-1 consortium	KB-1 consortium		
2005_4	32	KB13241_8	WP_011309940		4-Jul-05	LAH	1-Jan-05	KB1_21			KB-1 consortium	KB-1 consortium		
2000_6	5	KB1338_1	AIZ97109		4-Jul-05	LAH	1-Dec-00	KB1_27			KB-1 consortium	KB-1 consortium		
2017_1	23	KBDCA1_B1777_01060	WP_011928681			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	28	KBDCA1_B1777_04415	WP_077998113			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	31	KBDCA1_B1777_05680	WP_015407127			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	17	KBDCA1_B1777_07170	WP_077998282			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	12	KBDCA1_B1777_07180	WP_015407263			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	38	KBDCA1_B1777_07340	WP_011309917			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	10	KBDCA1_B1777_07410				Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA1		
2017_1	23	KBDCA2_B1778_00915	WP_011928681			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	28	KBDCA2_B1778_04230	WP_077998113			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	31	KBDCA2_B1778_05480	WP_015407127			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	17	KBDCA2_B1778_06970	WP_077998282			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	12	KBDCA2_B1778_06980	WP_015407263			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	38	KBDCA2_B1778_07140	WP_011309917			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	10	KBDCA2_B1778_07210				Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA2		
2017_1	23	KBDCA3_B1779_00920	WP_011928681			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	22	KBDCA3_B1779_01385	WP_059280032			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	60	KBDCA3_B1779_01395	WP_078409551			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	28	KBDCA3_B1779_04245	WP_077998113			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	31	KBDCA3_B1779_05125	WP_015407127			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	17	KBDCA3_B1779_06580	WP_078409763			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	12	KBDCA3_B1779_06590	WP_011309829			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		
2017_1	10	KBDCA3_B1779_06795				Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBDCA3		with * => 72.0        72.0        9%        3e-12        76.92%        PKH45890.1
2017_1	23	KBTCE1_B1772_00670	WP_011928681			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	22	KBTCE1_B1772_00855	WP_078986765			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	29	KBTCE1_B1772_00880	WP_078986767			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	31	KBTCE1_B1772_05085	WP_011309542			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	17	KBTCE1_B1772_06540	WP_079398697			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	12	KBTCE1_B1772_06550	WP_015407263			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	8	KBTCE1_B1772_06705	WP_079398699.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	18	KBTCE1_B1772_06845	WP_034376170			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	40	KBTCE1_B1772_06860	WP_079398701			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	30	KBTCE1_B1772_06885	WP_078987019			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	34	KBTCE1_B1772_06915	WP_078987022			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	11	KBTCE1_B1772_06930	WP_011309959			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	10	KBTCE1_B1772_07015	WP_078987031			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	17	KBTCE1_B1772_07045	WP_078987034			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	13	KBTCE1_B1772_07060	WP_011309985			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	15	KBTCE1_B1772_07090	WP_078987038			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE1		
2017_1	5	KBTCE3_B1774_00360	AQU03914.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE2		
2017_1	78	KBTCE3_B1774_00405	AQU03922.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE2		
2017_1	48	KBTCE3_B1774_00725	AQU03980.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE2		
2017_1	23	KBTCE3_B1774_00730	AQU03981.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE2		
2017_1	71	KBTCE3_B1774_06400				Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE2		
2017_1	5	KBTCE2B1773_00500	AQU02578.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE3		
2017_1	78	KBTCE2B1773_00545	AQU02586.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE3		
2017_1	48	KBTCE2B1773_00865	AQU02645.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE3		
2017_1	23	KBTCE2B1773_00870	AQU02646.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE3		
2017_1	71	KBTCE2B1773_06750				Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBTCE3		
2018_8	35	KBVC1_B1775_00335	AQX72641.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	23	KBVC1_B1775_00925	AQX72750.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	17	KBVC1_B1775_06115	AQX73717.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	37	KBVC1_B1775_06430	AQX73775.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	38	KBVC1_B1775_06460	AQX73781.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	39	KBVC1_B1775_06520	AQX73789.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	19	KBVC1_B1775_06610	AQX73808.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	40	KBVC1_B1775_06630	AQX73812.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	30	KBVC1_B1775_06655	AQX73817.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	33	KBVC1_B1775_06685	AQX73823.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	17	KBVC1_B1775_06815	AQX73849.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2018_8	15	KBVC1_B1775_06860	AQX73858.1		11-Mar-17	Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC1		
2017_1	23	KBVC2_B1776_00680	WP_011928681			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	22	KBVC2_B1776_00865	WP_078986765			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	29	KBVC2_B1776_00890	WP_078986767			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	31	KBVC2_B1776_04775	WP_011309542			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	17	KBVC2_B1776_06230	WP_078987004			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	12	KBVC2_B1776_06240	WP_015407263			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	8	KBVC2_B1776_06395	WP_078987008.1			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	18	KBVC2_B1776_06535	WP_034376170			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	40	KBVC2_B1776_06550	WP_078987018			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	30	KBVC2_B1776_06575	WP_078987019			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	34	KBVC2_B1776_06605	WP_078987022			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	11	KBVC2_B1776_06620	WP_011309959			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	10	KBVC2_B1776_06705	WP_078987031			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	17	KBVC2_B1776_06735	WP_078987034			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	13	KBVC2_B1776_06750	WP_011309985			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2017_1	15	KBVC2_B1776_06780	WP_078987038			Molenda et al. 2018 bioRxiv https://doi.org/10.1101/345173 					Dehalococcoides mccartyi	Dehalococcoides mccartyi KBVC2		
2018	79	KTB48865	WP_058439793			DOI:10.1186/s40793-016-0165-7			EdbA homolog		Dehalogenimonas	Dehalogenimonas		
2014_11	52	MB_mbrA	ADF96893		1-Aug-10	Chow, ISMEJ			PCE to tDCE reductase MbrA		Dehalococcoides mccartyi	Dehalococcoides mccartyi MB	mbrA	
2004_5	12	MB_rdhA5 	ACF24861		1-Aug-10	Chow, ISMEJ					Dehalococcoides mccartyi	Dehalococcoides mccartyi MB		
2004_10	17	MB_dceA1	EU625402.1		1-Aug-10	Chow, ISMEJ			17_II subgroup	In previous files MBmbrA	Dehalococcoides mccartyi	Dehalococcoides mccartyi MB		
2018_8	80	CG1_X792_07250	WP_041331461.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2018_8	83	CG1_X792_07460	WP_080775295.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
2018_8	82	CG1_X792_01510	WP_080775287.1								Dehalococcoides mccartyi	Dehalococcoides mccartyi CG1		
